type_curve;period;week_start;week_finish;planned_value;planned_cumulative;actual_value;actual_cumulative;trend_value;trend_cumulative
GERAL;W72;2026-03-07;2026-03-14;0.017127;0.967174;;;0.013475;0.972293
GERAL;W73;2026-03-14;2026-03-21;0.011690;0.978864;;;0.010297;0.982590
GERAL;W74;2026-03-21;2026-03-28;0.009315;0.988179;;;0.006572;0.989162
GERAL;W75;2026-03-28;2026-04-04;0.004705;0.992884;;;0.003868;0.993030
GERAL;W76;2026-04-04;2026-04-11;0.003482;0.996366;;;0.002716;0.995746
GERAL;W77;2026-04-11;2026-04-18;0.002933;0.999299;;;0.001585;0.997331
GERAL;W78;2026-04-18;2026-04-25;0.000410;0.999709;;;0.001382;0.998713
GERAL;W79;2026-04-25;2026-05-02;0.000078;0.999786;;;0.001074;0.999787
GERAL;W80;2026-05-02;2026-05-09;0.000097;0.999883;;;0.000097;0.999884
GERAL;W81;2026-05-09;2026-05-16;0.000097;0.999981;;;0.000097;0.999981
GERAL;W82;2026-05-16;2026-05-23;0.000019;1.000000;;;0.000019;1.000000
